Designator,Mid X,Mid Y,Rotation,Layer
C14,156.5,-64.35,0.0,top
C15,165.5,-64.35,0.0,top
J1,170.85,-87.27,270.0,top
J2,148.03,-72.0,180.0,top
J3,193.73,-72.0,0.0,top
J4,195.01,-61.77,0.0,top
J5,170.88,-53.35,270.0,top
R1,174.0,-81.35,180.0,top
R14,178.5875,-63.85,90.0,top
U1,169.69,-73.5,180.0,top
U2,172.27,-63.95,180.0,top
X1,160.5,-59.35,0.0,top
